Name,Sity1,State,Phone,Link
Uptown Cat Hospital,Albuquerque,NM,,http://www.findalocalvet.com/Profiles/Uptown-Cat-Hospital.aspx
Emmerson Animal Hospital,Boston,MA,(617) 825-3560,http://www.findalocalvet.com/Profiles/Emmerson-Animal-Hospital.aspx
Pet Vet Animal Hospital,Vestavia Hills,AL,(205) 824-2077,http://www.findalocalvet.com/Profiles/Pet-Vet-Animal-Hospital2.aspx
North Powers Animal Hospital,Colorado Springs,CO,(719) 282-1222,http://www.findalocalvet.com/Profiles/North-Powers-Animal-Hospital.aspx
Richter Animal Hospital & Pet Resort,Arlington,TX,(817) 478-8000,http://www.findalocalvet.com/Profiles/Richter-Animal-Hospital-Pet-Resort.aspx
I 20 Animal Medical Center,Arlington,TX,(817) 478-9238,http://www.findalocalvet.com/Profiles/I-20-Animal-Medical-Center.aspx
Highland Animal Clinic,Anchorage,AK,,http://www.findalocalvet.com/Profiles/Highland-Animal-Clinic.aspx
Kelley Animal Hospital,Birmingham,AL,(205) 833-9400,http://www.findalocalvet.com/Profiles/Kelley-Animal-Hospital.aspx
Friars Road Pet Hospital,San Diego,CA,(619) 282-7677,http://www.findalocalvet.com/Profiles/Friars-Road-Pet-Hospital.aspx
Bark Avenue Animal Hospital,Mesa,AZ,(480) 807-5524,http://www.findalocalvet.com/Profiles/Bark-Avenue-Animal-Hospital.aspx
TLC Pet & Uptown Cat Hospital,Albuquerque,NM,(505) 271-2287,http://www.findalocalvet.com/Profiles/TLC-Pet-Uptown-Cat-Hospital.aspx
Arizona Exotic Animal Hospital,Mesa,AZ,(866) 989-5890,http://www.findalocalvet.com/Profiles/Arizona-Exotic-Animal-Hospital.aspx
Ellicott Small Animal Hospital,Buffalo,NY,(716) 852-8276,http://www.findalocalvet.com/Profiles/Ellicott-Small-Animal-Hospital.aspx
Blue Cross Small Animal Clinic,Buffalo,NY,(716) 832-2800,http://www.findalocalvet.com/Profiles/Blue-Cross-Small-Animal-Clinic.aspx
The Animal Hospitable Veterinary Clinic,Williamsville,NY,(716) 634-2240,http://www.findalocalvet.com/Profiles/The-Animal-Hospitable-Veterinary-Clinic.aspx
Mobile Veterinary Svc,Albuquerque,NM,,http://www.findalocalvet.com/Profiles/Mobile-Veterinary-Svc2.aspx
Harris Hill Animal Hospital,Williamsville,NY,(716) 634-1000,http://www.findalocalvet.com/Profiles/Harris-Hill-Animal-Hospital.aspx
Academy Animal Hospital,Baltimore,MD,(410) 483-5162,http://www.findalocalvet.com/Profiles/Academy-Animal-Hospital.aspx
Veterinary & Internal Medicine,Amherst,NY,,http://www.findalocalvet.com/Profiles/Veterinary-Internal-Medicine.aspx
Southtowns Animal Hospital,Buffalo,NY,(716) 824-4108,http://www.findalocalvet.com/Profiles/Southtowns-Animal-Hospital.aspx
Citypets Veterinary Care and Wellness,Baltimore,MD,(410) 752-7122,http://www.findalocalvet.com/Profiles/Citypets-Veterinary-Care-and-Wellness.aspx
Cat Hospital At Towson,Baltimore,MD,(410) 377-7900,http://www.findalocalvet.com/Profiles/Cat-Hospital-At-Towson.aspx
Community Pet Care Hospital,Lackawanna,NY,,http://www.findalocalvet.com/Profiles/Community-Pet-Care-Hospital.aspx
Northtown Animal Hospital,Buffalo,NY,,http://www.findalocalvet.com/Profiles/Northtown-Animal-Hospital.aspx
Animal Pain Management Center,Snyder,NY,(716) 839-1100,http://www.findalocalvet.com/Profiles/Animal-Pain-Management-Center.aspx
Grady Veterinary Hospital,Cincinnati,OH,(513) 931-8675,http://www.findalocalvet.com/Profiles/Grady-Veterinary-Hospital.aspx
Towne Square Animal Clinic,Cincinnati,OH,(513) 793-1875,http://www.findalocalvet.com/Profiles/Towne-Square-Animal-Clinic.aspx
Deer Park Veterinary Hospital,Cincinnati,OH,(513) 791-8550,http://www.findalocalvet.com/Profiles/Deer-Park-Veterinary-Hospital.aspx
Rose Canyon Animal Hospital,San Diego,CA,(858) 273-4680,http://www.findalocalvet.com/Profiles/Rose-Canyon-Animal-Hospital.aspx
Blum Animal Hospital,Chicago,IL,(773) 327-4446,http://www.findalocalvet.com/Profiles/Blum-Animal-Hospital.aspx
Jewell Animal Hospital,Chicago,IL,(773) 271-1901,http://www.findalocalvet.com/Profiles/Jewell-Animal-Hospital.aspx
North Center Animal Hospital,Chicago,IL,(773) 327-5050,http://www.findalocalvet.com/Profiles/North-Center-Animal-Hospital.aspx
Chicago Center for Veterinary Medicine,Chicago,IL,(312) 226-2588,http://www.findalocalvet.com/Profiles/Chicago-Center-for-Veterinary-Medicine.aspx
Animal Ark Veterinary Clinic,Chicago,IL,(773) 442-6500,http://www.findalocalvet.com/Profiles/Animal-Ark-Veterinary-Clinic.aspx
Turquoise Animal Hospital,San Diego,CA,(858) 488-0658,http://www.findalocalvet.com/Profiles/Turquoise-Animal-Hospital.aspx
Kearny Mesa Veterinary Center,San Diego,CA,(858) 279-3000,http://www.findalocalvet.com/Profiles/Kearny-Mesa-Veterinary-Center.aspx
Animal Dental Care,Colorado Springs,CO,(719) 536-9949,http://www.findalocalvet.com/Profiles/Animal-Dental-Care2.aspx
Market Street Veterinary Clinic,San Diego,CA,(619) 230-1220,http://www.findalocalvet.com/Profiles/Market-Street-Veterinary-Clinic.aspx
Penasquitos Pet Clinic,San Diego,CA,(858) 484-1260,http://www.findalocalvet.com/Profiles/Penasquitos-Pet-Clinic.aspx
Integrative Pet Care,Chicago,IL,(773) 269-2964,http://www.findalocalvet.com/Profiles/Integrative-Pet-Care.aspx
Diversey Animal Hospital,Chicago,IL,,http://www.findalocalvet.com/Profiles/Diversey-Animal-Hospital.aspx
Shelter Island Veterinary Hospital,San Diego  ,CA,(619) 222-0597,http://www.findalocalvet.com/Profiles/Shelter-Island-Veterinary-Hospital.aspx
Escanaba Animal Hospital,Chicago,IL,(773) 375-2433,http://www.findalocalvet.com/Profiles/Escanaba-Animal-Hospital.aspx
Snow-Ridge Veterinary Hospital,Cleveland,OH,(440) 845-7744,http://www.findalocalvet.com/Profiles/Snow-Ridge-Veterinary-Hospital.aspx
Banfield the Pet Hospital,Chicago,IL,,http://www.findalocalvet.com/Profiles/Banfield-the-Pet-Hospital10.aspx
Dr Anni's Pet Clinic,Cleveland,OH,,http://www.findalocalvet.com/Profiles/Dr-Annis-Pet-Clinic.aspx
Aaron Animal Clinic,Parma,OH,(216) 901-9980,http://www.findalocalvet.com/Profiles/Aaron-Animal-Clinic.aspx
Belvoir Pet Hospital,Cleveland,OH,,http://www.findalocalvet.com/Profiles/Belvoir-Pet-Hospital.aspx
Animal Hospital-Fairview Park,Cleveland,OH,,http://www.findalocalvet.com/Profiles/Animal-Hospital-Fairview-Park.aspx
Lyndhurst Animal Clinic,Lyndhurst,OH,(440) 449-6644,http://www.findalocalvet.com/Profiles/Lyndhurst-Animal-Clinic.aspx
Best Friends Veterinary Center,Chicago,IL,(773) 267-0086,http://www.findalocalvet.com/Profiles/Best-Friends-Veterinary-Center.aspx
Paws Chicago Spay-Neuter,Chicago,IL,,http://www.findalocalvet.com/Profiles/Paws-Chicago-Spay-Neuter.aspx
Roscoe Village Animal Hospital,Chicago,IL,(773) 549-3131,http://www.findalocalvet.com/Profiles/Roscoe-Village-Animal-Hospital.aspx
Southern California Veterinary,San Diego,CA,(858) 279-2108,http://www.findalocalvet.com/Profiles/Southern-California-Veterinary.aspx
