subject_name,course_name,absolute_course_name
Computer Science Courses,Elements of AI,https://www.classcentral.com/course/independent-elements-of-ai-12469
Computer Science Courses,Machine Learning,https://www.classcentral.com/course/machine-learning-835
Computer Science Courses,Introduction to Computer Science and Programming Using Python,https://www.classcentral.com/course/edx-introduction-to-computer-science-and-programming-using-python-1341
Computer Science Courses,CS50's Introduction to Computer Science,https://www.classcentral.com/course/edx-cs50-s-introduction-to-computer-science-442
Computer Science Courses,Machine Learning for Musicians and Artists,https://www.classcentral.com/course/kadenze-machine-learning-for-musicians-and-artists-3768
Computer Science Courses,"Divide and Conquer, Sorting and Searching, and Randomized Algorithms",https://www.classcentral.com/course/algorithms-divide-conquer-374
Computer Science Courses,Functional Programming Principles in Scala,https://www.classcentral.com/course/progfun-422
Computer Science Courses,Unlocking Information Security: Part Ⅰ,https://www.classcentral.com/course/edx-unlocking-information-security-part-16964
Computer Science Courses,"Algorithms, Part I",https://www.classcentral.com/course/algs4partI-339
Computer Science Courses,Cryptography I,https://www.classcentral.com/course/crypto-616
Computer Science Courses,Functional Program Design in Scala,https://www.classcentral.com/course/progfun2-1186
Computer Science Courses,"Internet History, Technology, and Security",https://www.classcentral.com/course/insidetheinternet-335
Computer Science Courses,Introduction to Linux,https://www.classcentral.com/course/edx-introduction-to-linux-1857
Computer Science Courses,CS188.1x: Artificial Intelligence,https://www.classcentral.com/course/edx-cs188-1x-artificial-intelligence-445
Computer Science Courses,Fundamentos TIC para profesionales de negocios: Hardware,https://www.classcentral.com/course/edx-fundamentos-tic-para-profesionales-de-negocios-hardware-8086
Computer Science Courses,Cyber Security,https://www.classcentral.com/course/swayam-cyber-security-13978
Computer Science Courses,Build a Modern Computer from First Principles: From Nand to Tetris (Project-Centered Course),https://www.classcentral.com/course/build-a-computer-3234
Computer Science Courses,"Algorithms, Part II",https://www.classcentral.com/course/algs4partII-340
Computer Science Courses,"Cloud Computing Concepts, Part 1",https://www.classcentral.com/course/cloud-computing-2717
Computer Science Courses,Fundamentals of Reinforcement Learning,https://www.classcentral.com/course/fundamentals-of-reinforcement-learning-14497
Computer Science Courses,Introduction to Artificial Intelligence,https://www.classcentral.com/course/udacity-introduction-to-artificial-intelligence-301
Computer Science Courses,Machine Learning Foundations: A Case Study Approach,https://www.classcentral.com/course/ml-foundations-4352
Computer Science Courses,Transport Systems: Global Issues and Future Innovations,https://www.classcentral.com/course/transport-systems-global-issues-and-future-innova-12705
Computer Science Courses,Bitcoin and Cryptocurrency Technologies,https://www.classcentral.com/course/bitcointech-3655
Computer Science Courses,Julia Scientific Programming,https://www.classcentral.com/course/julia-programming-7092
Computer Science Courses,Computational Social Science Methods,https://www.classcentral.com/course/computational-social-science-methods-17299
Computer Science Courses,Web Security Fundamentals,https://www.classcentral.com/course/edx-web-security-fundamentals-8726
Computer Science Courses,Automata Theory,https://www.classcentral.com/course/edx-automata-theory-376
Computer Science Courses,Neural Networks and Deep Learning,https://www.classcentral.com/course/neural-networks-deep-learning-9058
Computer Science Courses,Introduction to Machine Learning Course,https://www.classcentral.com/course/udacity-introduction-to-machine-learning-course-2996
Computer Science Courses,Text Retrieval and Search Engines,https://www.classcentral.com/course/textretrieval-2734
Computer Science Courses,Probabilistic Graphical Models 1: Representation,https://www.classcentral.com/course/probabilistic-graphical-models-309
Computer Science Courses,The Nature of Code,https://www.classcentral.com/course/kadenze-the-nature-of-code-3777
Computer Science Courses,Machine Learning With Big Data,https://www.classcentral.com/course/machinelearningwithbigdata-4238
Computer Science Courses,Fundamentos TIC para profesionales de negocios: Desarrollo de Software,https://www.classcentral.com/course/edx-fundamentos-tic-para-profesionales-de-negocios-desarrollo-de-software-8495
Computer Science Courses,Computer Science 101,https://www.classcentral.com/course/edx-computer-science-101-2175
Computer Science Courses,Discrete Optimization,https://www.classcentral.com/course/optimization-487
Computer Science Courses,Introduction to the Internet of Things and Embedded Systems,https://www.classcentral.com/course/iot-4338
Computer Science Courses,The Arduino Platform and C Programming,https://www.classcentral.com/course/arduino-platform-4206
Computer Science Courses,Cybersecurity Fundamentals,https://www.classcentral.com/course/edx-cybersecurity-fundamentals-7844
Computer Science Courses,Principles of Computing (Part 1),https://www.classcentral.com/course/principlescomputing1-1724
Computer Science Courses,Hardware Security,https://www.classcentral.com/course/hardwaresec-1729
Computer Science Courses,Machine Learning for Data Science and Analytics,https://www.classcentral.com/course/edx-machine-learning-for-data-science-and-analytics-4912
Computer Science Courses,A Complete Reinforcement Learning System (Capstone),https://www.classcentral.com/course/complete-reinforcement-learning-system-14498
Computer Science Courses,Design of Computer Programs,https://www.classcentral.com/course/udacity-design-of-computer-programs-323
Computer Science Courses,Unlocking Information Security: Part ⅠⅠ,https://www.classcentral.com/course/edx-unlocking-information-security-part-16965
Computer Science Courses,Fundamentos TIC para profesionales de negocios: Aplicaciones empresariales,https://www.classcentral.com/course/edx-fundamentos-tic-para-profesionales-de-negocios-aplicaciones-empresariales-7475
Computer Science Courses,Computational Social Science Capstone Project,https://www.classcentral.com/course/css-capstone-17985
Computer Science Courses,Cryptography,https://www.classcentral.com/course/cryptography-1730
Computer Science Courses,Introduction to Software Product Management,https://www.classcentral.com/course/introduction-to-software-product-managem-4196
subject_name,course_name,absolute_course_name
Programming Courses,Programming for Everybody (Getting Started with Python),https://www.classcentral.com/course/python-4319
Programming Courses,Python Data Structures,https://www.classcentral.com/course/python-data-4174
Programming Courses,An Introduction to Interactive Programming in Python (Part 1),https://www.classcentral.com/course/interactivepython1-408
Programming Courses,Using Python to Access Web Data,https://www.classcentral.com/course/python-network-data-4343
Programming Courses,Using Databases with Python,https://www.classcentral.com/course/python-databases-4272
Programming Courses,Python for Everybody,https://www.classcentral.com/course/python-18625
Programming Courses,Agile Leadership Principles and Practices,https://www.classcentral.com/course/edx-agile-leadership-principles-and-practices-11920
Programming Courses,Introduction to Programming with MATLAB,https://www.classcentral.com/course/matlab-3396
Programming Courses,"Agile Process, Project, and Program Controls",https://www.classcentral.com/course/edx-agile-process-project-and-program-controls-11921
Programming Courses,Learn to Program: The Fundamentals,https://www.classcentral.com/course/programming1-385
Programming Courses,ANIMATIONs,https://www.classcentral.com/course/swayam-animations-13880
Programming Courses,Python and Statistics for Financial Analysis,https://www.classcentral.com/course/python-statistics-financial-analysis-12648
Programming Courses,Computing in Python I: Fundamentals and Procedural Programming,https://www.classcentral.com/course/edx-computing-in-python-i-fundamentals-and-procedural-programming-11469
Programming Courses,Ruby on Rails: An Introduction,https://www.classcentral.com/course/ruby-on-rails-intro-4258
Programming Courses,Sprint Planning for Faster Agile Team Delivery,https://www.classcentral.com/course/edx-sprint-planning-for-faster-agile-team-delivery-11918
Programming Courses,Agile Innovation and Problem Solving Skills,https://www.classcentral.com/course/edx-agile-innovation-and-problem-solving-skills-11919
Programming Courses,Functional Program Design in Scala,https://www.classcentral.com/course/progfun2-1186
Programming Courses,Computing in Python IV: Objects & Algorithms,https://www.classcentral.com/course/edx-computing-in-python-iv-objects-algorithms-11472
Programming Courses,An Introduction to Interactive Programming in Python (Part 2),https://www.classcentral.com/course/interactivepython2-3196
Programming Courses,Programming Mobile Applications for Android Handheld Systems: Part 1,https://www.classcentral.com/course/androidpart1-1178
Programming Courses,Intro to HTML and CSS,https://www.classcentral.com/course/udacity-intro-to-html-and-css-2659
Programming Courses,Introduction to VBA/Excel Programming,https://www.classcentral.com/course/open-education-by-blackboard-introduction-to-vba-excel-programming-1797
Programming Courses,Computing in Python II: Control Structures,https://www.classcentral.com/course/edx-computing-in-python-ii-control-structures-11470
Programming Courses,Python for Everybody - Exploring Information,https://www.classcentral.com/course/independent-python-for-everybody-exploring-information-7363
Programming Courses,"Responsive Website Basics: Code with HTML, CSS, and JavaScript ",https://www.classcentral.com/course/website-coding-4191
Programming Courses,"C++ For C Programmers, Part A",https://www.classcentral.com/course/c-plus-plus-a-671
Programming Courses,Introduction to HTML5,https://www.classcentral.com/course/introhtml-4307
Programming Courses,Android: Introducción a la Programación,https://www.classcentral.com/course/edx-android-introduccion-a-la-programacion-2964
Programming Courses,"Programming Languages, Part A",https://www.classcentral.com/course/programming-languages-452
Programming Courses,Computing in Python III: Data Structures,https://www.classcentral.com/course/edx-computing-in-python-iii-data-structures-11471
Programming Courses,Front End Web Developer,https://www.classcentral.com/course/front-end-web-developer-nanodegree--nd0011-18193
Programming Courses,Introducción al desarrollo de videojuegos con Unity,https://www.classcentral.com/course/edx-introduccion-al-desarrollo-de-videojuegos-con-unity-5345
Programming Courses,"HTML, CSS, and Javascript for Web Developers",https://www.classcentral.com/course/html-css-javascript-for-web-developers-4270
Programming Courses,JavaScript Basics,https://www.classcentral.com/course/udacity-javascript-basics-2660
Programming Courses,Agile Development Using Ruby on Rails - The Basics,https://www.classcentral.com/course/edx-agile-development-using-ruby-on-rails-the-basics-443
Programming Courses,Introducción a la programación orientada a objetos en Java,https://www.classcentral.com/course/introduccion-programacion-java-9065
Programming Courses,Developing Android Apps,https://www.classcentral.com/course/udacity-developing-android-apps-2211
Programming Courses,Creative Programming for Digital Media & Mobile Apps,https://www.classcentral.com/course/digitalmedia-529
Programming Courses,Introdução ao Controle Moderno,https://www.classcentral.com/course/controle-moderno-8482
Programming Courses,Programming Mobile Applications for Android Handheld Systems: Part 2,https://www.classcentral.com/course/androidpart2-3076
Programming Courses,Programming Basics,https://www.classcentral.com/course/edx-programming-basics-1650
Programming Courses,Introduction to video game development with Unity,https://www.classcentral.com/course/edx-introduction-to-video-game-development-with-unity-18138
Programming Courses,Become an Android Developer,https://www.classcentral.com/course/android-developer-nanodegree-by-google--nd801-18236
Programming Courses,Object-Oriented JavaScript,https://www.classcentral.com/course/udacity-object-oriented-javascript-2658
Programming Courses,Introduction to Functional Programming,https://www.classcentral.com/course/edx-introduction-to-functional-programming-2147
Programming Courses,Code Yourself! An Introduction to Programming,https://www.classcentral.com/course/codeyourself-2938
Programming Courses,Programming Languages,https://www.classcentral.com/course/udacity-programming-languages-325
Programming Courses,Full Stack Foundations,https://www.classcentral.com/course/udacity-full-stack-foundations-3254
Programming Courses,Introduction to Programming for the Visual Arts with p5.js,https://www.classcentral.com/course/kadenze-introduction-to-programming-for-the-visual-arts-with-p5-js-3770
